Maioria,EX,Soft_F1,Stats,Similarity,VES,QAS,EM,CM,StCo,LFA,LeCo,SkCo,PCMF1
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.738,0.000,0.000,0.380,0.000,0.798
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.514,0.000,0.000,0.340,0.000,0.595
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.394,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.518,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.464,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.487,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.328,0.000,0.000
1,0,0.000,1.000,0.000,0.000,0.234,0.000,0.739,0.000,0.000,0.468,0.000,0.835
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.163,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.162,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.000,0.000
0,0,0.000,0.000,0.000,0.000,0.184,0.000,0.631,0.000,0.000,0.368,0.000,0.752
1,1,1.000,1.000,1.000,0.064,0.750,0.000,0.673,0.000,0.000,0.499,0.000,0.772
0,0,0.000,0.000,0.000,0.000,0.136,0.000,0.476,0.000,0.000,0.272,0.000,0.588
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.386,0.000,0.000
